Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.8,0.030,-125800,0,13.66,41.2,311889
1000,45.2,0.030,-342100,0,13.68,41.2,312520
1500,46.6,0.030,-455400,0,13.71,41.2,313137
2000,46.2,0.030,-604300,0,13.73,41.2,313788
2500,49.0,0.030,-548200,0,13.77,41.3,314386
3000,47.8,0.030,-594300,0,13.80,41.3,315102
3500,47.4,0.030,-644900,0,13.83,41.3,315765
4000,46.4,0.030,-805000,0,13.86,41.3,316325
4500,45.6,0.030,-982800,0,13.89,41.4,316875
5000,51.6,0.030,-842000,0,13.93,41.4,317450
5500,46.4,0.030,-941900,0,13.95,41.4,318015
6000,52.4,0.030,-735800,0,13.99,41.5,318623
6500,47.6,0.030,-758200,0,14.02,41.5,319184
7000,48.2,0.030,-794600,0,14.05,41.5,319747
7500,52.4,0.030,-615300,0,14.08,41.6,320355
8000,53.2,0.030,-374500,0,14.11,41.6,320863
8500,51.0,0.030,-253400,0,14.13,41.6,321451
9000,46.0,0.030,-380200,0,14.17,41.7,322056
9500,48.6,0.030,-381000,0,14.19,41.7,322684
10000,47.8,0.030,-424400,0,14.22,41.7,323226
