Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.4,0.030,143300,0,16.42,43.6,363230
1000,51.2,0.030,292200,0,16.44,43.7,363711
1500,51.4,0.030,438100,0,16.47,43.7,364123
2000,49.8,0.030,470900,0,16.49,43.7,364626
2500,52.6,0.030,651900,0,16.52,43.7,365011
3000,50.8,0.030,777600,0,16.54,43.7,365435
3500,48.4,0.030,763400,0,16.57,43.7,365799
4000,51.6,0.030,923000,0,16.59,43.8,366226
4500,47.6,0.030,853500,0,16.62,43.8,366641
5000,46.2,0.030,721000,0,16.64,43.8,367015
5500,50.0,0.030,780300,0,16.67,43.8,367423
6000,49.0,0.030,779800,0,16.69,43.9,367808
6500,49.4,0.030,831800,0,16.72,43.9,368173
7000,49.6,0.030,860900,0,16.75,43.9,368639
7500,48.6,0.030,892700,0,16.77,43.9,369048
8000,50.0,0.030,996200,0,16.80,43.9,369474
8500,48.6,0.030,1018800,0,16.83,44.0,369874
9000,46.4,0.030,917800,0,16.85,44.0,370330
9500,48.6,0.030,931600,0,16.88,44.0,370784
10000,50.6,0.030,1071000,0,16.90,44.0,371130
