Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,50.2,0.030,70100,0,18.01,44.8,386922
1000,46.6,0.030,-43800,0,18.04,44.8,387275
1500,49.2,0.030,-24300,0,18.06,44.8,387685
2000,50.2,0.030,57000,0,18.09,44.9,388022
2500,48.8,0.030,95100,0,18.12,44.9,388393
3000,47.8,0.030,61400,0,18.14,44.9,388757
3500,49.8,0.030,91800,0,18.17,44.9,389130
4000,47.4,0.030,55800,0,18.19,44.9,389479
4500,48.8,0.030,84200,0,18.22,44.9,389913
5000,49.6,0.030,121400,0,18.24,44.9,390294
5500,48.8,0.030,144800,0,18.27,45.0,390614
6000,53.6,0.030,421600,0,18.30,45.0,390937
6500,47.8,0.030,362900,0,18.32,45.0,391226
7000,50.8,0.030,439200,0,18.35,45.0,391623
7500,51.4,0.030,591800,0,18.38,45.0,392005
8000,48.6,0.030,607900,0,18.40,45.0,392426
8500,46.8,0.030,534300,0,18.43,45.0,392788
9000,53.4,0.030,764900,0,18.45,45.0,393126
9500,53.4,0.030,1008500,0,18.48,45.1,393423
10000,49.8,0.030,1080500,0,18.51,45.1,393754
