Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.4,0.058,-129000,0,13.15,40.6,298066
1000,45.4,0.055,-316700,0,13.17,40.6,298887
1500,44.4,0.051,-558800,0,13.20,40.6,299611
2000,46.4,0.047,-670600,0,13.23,40.7,300377
2500,47.4,0.043,-726000,0,13.25,40.7,301089
3000,45.0,0.037,-929300,0,13.28,40.7,301674
3500,48.4,0.033,-964400,0,13.30,40.7,302311
4000,46.4,0.030,-1071200,0,13.33,40.8,303074
4500,45.8,0.030,-1199900,0,13.36,40.8,303694
5000,45.6,0.030,-1387300,0,13.38,40.8,304404
5500,51.0,0.030,-1260000,0,13.41,40.9,305149
6000,51.4,0.030,-1102000,0,13.44,40.9,305714
6500,47.0,0.030,-1204300,0,13.47,40.9,306334
7000,47.6,0.030,-1293000,0,13.49,40.9,307054
7500,48.0,0.030,-1367500,0,13.51,41.0,307725
8000,44.6,0.030,-1601500,0,13.53,41.0,308398
8500,51.0,0.030,-1485700,0,13.55,41.0,309111
9000,45.4,0.030,-1679300,0,13.58,41.1,309723
9500,47.0,0.030,-1777800,0,13.60,41.1,310402
10000,47.2,0.030,-1845400,0,13.63,41.1,311140
