Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.4,0.399,102000,0,18.08,48.7,90820
1000,50.2,0.399,137200,0,17.46,47.2,94964
1500,51.8,0.398,279700,0,16.93,46.0,98856
2000,48.8,0.397,254800,0,16.48,45.1,102516
2500,49.2,0.396,245200,0,16.10,44.3,106016
3000,47.4,0.395,191100,0,15.80,43.6,108988
3500,49.4,0.394,196300,0,15.49,43.0,112152
4000,46.4,0.393,59100,0,15.21,42.5,115291
4500,50.2,0.392,115000,0,14.94,42.0,118415
5000,49.8,0.391,135700,0,14.71,41.7,121325
5500,46.2,0.390,-11800,0,14.52,41.3,124078
6000,45.0,0.389,-220600,0,14.35,41.0,126568
6500,49.0,0.388,-199700,0,14.17,40.7,129391
7000,54.8,0.387,96800,0,13.98,40.4,132285
7500,47.4,0.386,7200,0,13.84,40.1,134915
8000,45.6,0.385,-157300,0,13.70,39.9,137558
8500,48.2,0.383,-203200,0,13.58,39.6,139981
9000,45.8,0.382,-376000,0,13.45,39.5,142440
9500,48.4,0.381,-384400,0,13.35,39.3,144899
10000,46.4,0.380,-508400,0,13.25,39.2,147293
