Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,65.2,0.099,832700,0,9.37,43.0,59052
1000,68.6,0.087,1852200,0,9.51,43.2,59638
1500,62.4,0.073,2539300,0,9.65,43.4,60179
2000,64.4,0.059,3331300,0,9.79,43.6,60742
2500,65.2,0.050,4166300,0,9.93,43.8,61259
3000,67.2,0.050,5106100,0,10.08,44.0,61747
3500,64.6,0.050,5913000,0,10.22,44.1,62304
4000,63.0,0.050,6629900,0,10.35,44.2,62864
4500,64.6,0.050,7449500,0,10.47,44.3,63427
5000,64.2,0.050,8234400,0,10.61,44.5,63932
5500,66.6,0.050,9141500,0,10.74,44.6,64419
6000,63.8,0.050,9906300,0,10.87,44.7,64868
6500,67.2,0.050,10850600,0,11.01,44.9,65328
7000,65.0,0.050,11675300,0,11.14,45.0,65815
7500,64.0,0.050,12447700,0,11.27,45.2,66278
8000,63.8,0.050,13213400,0,11.41,45.3,66702
8500,66.0,0.050,14099500,0,11.53,45.5,67161
9000,68.0,0.050,15072300,0,11.67,45.6,67536
9500,69.4,0.050,16125100,0,11.80,45.8,67904
10000,67.0,0.050,17055200,0,11.92,45.9,68373
