Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.0,0.030,-113900,0,14.78,42.3,334657
1000,48.2,0.030,-146800,0,14.81,42.3,335084
1500,46.0,0.030,-293600,0,14.84,42.4,335571
2000,49.4,0.030,-276000,0,14.87,42.4,336038
2500,44.6,0.030,-490200,0,14.89,42.4,336597
3000,47.8,0.030,-550500,0,14.92,42.4,337173
3500,49.2,0.030,-537400,0,14.94,42.4,337775
4000,51.2,0.030,-408000,0,14.98,42.5,338293
4500,47.6,0.030,-477400,0,15.01,42.5,338772
5000,49.0,0.030,-457400,0,15.03,42.5,339329
5500,47.6,0.030,-512600,0,15.06,42.5,339840
6000,49.0,0.030,-466000,0,15.08,42.6,340328
6500,47.4,0.030,-534900,0,15.11,42.6,340780
7000,50.4,0.030,-463700,0,15.14,42.6,341272
7500,45.6,0.030,-621500,0,15.17,42.6,341726
8000,49.4,0.030,-578900,0,15.21,42.7,342278
8500,47.6,0.030,-632600,0,15.23,42.7,342757
9000,45.2,0.030,-801700,0,15.27,42.7,343216
9500,49.4,0.030,-734200,0,15.29,42.7,343654
10000,46.6,0.030,-856700,0,15.32,42.8,344155
