Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.4,0.030,-99800,0,18.54,45.1,394105
1000,51.0,0.030,33300,0,18.57,45.1,394461
1500,50.0,0.030,113800,0,18.59,45.1,394835
2000,49.6,0.030,158400,0,18.62,45.1,395156
2500,46.8,0.030,61500,0,18.65,45.2,395506
3000,49.6,0.030,113500,0,18.68,45.2,395797
3500,49.8,0.030,168200,0,18.70,45.2,396160
4000,51.4,0.030,308100,0,18.72,45.2,396460
4500,48.8,0.030,286800,0,18.75,45.2,396886
5000,46.4,0.030,163700,0,18.77,45.3,397217
5500,48.2,0.030,122000,0,18.79,45.3,397624
6000,49.2,0.030,148400,0,18.82,45.3,398048
6500,48.4,0.030,114900,0,18.84,45.3,398399
7000,49.6,0.030,167700,0,18.87,45.3,398772
7500,49.4,0.030,195200,0,18.89,45.3,399155
8000,47.4,0.030,91400,0,18.91,45.3,399514
8500,47.4,0.030,25700,0,18.94,45.3,399865
9000,47.8,0.030,-34600,0,18.96,45.3,400260
9500,48.6,0.030,-37000,0,18.99,45.4,400546
10000,44.2,0.030,-254600,0,19.01,45.4,400886
