Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,67.8,0.050,982800,0,12.05,46.0,68796
1000,69.8,0.050,2065400,0,12.17,46.1,69203
1500,66.0,0.050,2936600,0,12.30,46.2,69566
2000,63.8,0.050,3692300,0,12.42,46.3,69956
2500,63.8,0.050,4462300,0,12.54,46.4,70397
3000,67.4,0.050,5419900,0,12.66,46.5,70761
3500,66.4,0.050,6326100,0,12.79,46.7,71111
4000,64.2,0.050,7104200,0,12.91,46.7,71504
4500,66.0,0.050,7982600,0,13.04,46.9,71836
5000,63.6,0.050,8727700,0,13.17,47.0,72173
5500,63.0,0.050,9451300,0,13.29,47.1,72496
6000,67.8,0.050,10420500,0,13.41,47.2,72838
6500,63.8,0.050,11181400,0,13.54,47.4,73163
7000,63.6,0.050,11939100,0,13.65,47.4,73555
7500,66.0,0.050,12819100,0,13.78,47.5,73862
8000,61.6,0.050,13469000,0,13.91,47.6,74185
8500,69.8,0.050,14533800,0,14.03,47.7,74485
9000,65.4,0.050,15375700,0,14.16,47.8,74789
9500,66.2,0.050,16262000,0,14.28,47.9,75059
10000,66.8,0.050,17173500,0,14.39,48.0,75396
