Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.2,0.346,-178200,0,12.24,38.3,187436
1000,47.2,0.345,-300400,0,12.21,38.3,189228
1500,53.6,0.343,-85600,0,12.18,38.3,190928
2000,46.0,0.341,-259100,0,12.16,38.2,192557
2500,51.6,0.339,-121600,0,12.14,38.2,194243
3000,50.8,0.338,-31200,0,12.11,38.2,196064
3500,49.0,0.336,-53000,0,12.09,38.2,197705
4000,47.4,0.334,-128800,0,12.08,38.2,199233
4500,51.8,0.332,4500,0,12.06,38.2,200935
5000,47.0,0.330,-106100,0,12.04,38.2,202472
5500,53.0,0.328,83200,0,12.04,38.2,203820
6000,47.8,0.326,49400,0,12.03,38.2,205373
6500,48.2,0.324,24600,0,12.03,38.2,206749
7000,47.8,0.322,-40300,0,12.02,38.2,208178
7500,49.8,0.320,-11200,0,12.02,38.2,209573
8000,44.4,0.317,-260000,0,12.02,38.2,210944
8500,50.6,0.315,-175000,0,12.01,38.2,212368
9000,46.2,0.313,-340300,0,12.01,38.2,213789
9500,52.2,0.311,-166800,0,11.99,38.2,215299
10000,51.6,0.309,-44400,0,11.98,38.2,216863
