Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.4,0.030,-69000,0,15.35,42.8,344576
1000,49.6,0.030,-8400,0,15.38,42.8,345036
1500,55.0,0.030,340900,0,15.41,42.8,345451
2000,46.8,0.030,267300,0,15.44,42.8,345948
2500,51.2,0.030,395600,0,15.46,42.9,346457
3000,50.8,0.030,518900,0,15.49,42.9,346938
3500,49.8,0.030,558200,0,15.52,42.9,347344
4000,50.2,0.030,622900,0,15.55,42.9,347813
4500,46.2,0.030,480500,0,15.58,43.0,348315
5000,49.0,0.030,485500,0,15.60,43.0,348819
5500,47.4,0.030,431400,0,15.63,43.0,349233
6000,51.8,0.030,576800,0,15.65,43.0,349746
6500,50.6,0.030,672500,0,15.68,43.1,350237
7000,50.4,0.030,752700,0,15.71,43.1,350683
7500,50.4,0.030,868900,0,15.73,43.1,351246
8000,52.6,0.030,1054700,0,15.75,43.1,351736
8500,50.8,0.030,1185600,0,15.78,43.1,352244
9000,48.8,0.030,1217100,0,15.80,43.2,352742
9500,51.2,0.030,1378200,0,15.82,43.2,353214
10000,51.4,0.030,1506200,0,15.85,43.2,353759
