Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,66.2,0.050,884400,0,16.80,49.5,81495
1000,61.6,0.050,1530300,0,16.92,49.5,81771
1500,60.0,0.050,2091200,0,17.03,49.6,82069
2000,62.6,0.050,2780300,0,17.14,49.7,82364
2500,63.8,0.050,3539800,0,17.25,49.7,82593
3000,65.4,0.050,4387500,0,17.37,49.8,82816
3500,65.4,0.050,5230000,0,17.48,49.9,83067
4000,64.8,0.050,6038200,0,17.59,49.9,83351
4500,61.6,0.050,6681800,0,17.69,50.0,83614
5000,67.2,0.050,7612600,0,17.80,50.0,83881
5500,66.4,0.050,8509800,0,17.90,50.1,84162
6000,63.6,0.050,9265200,0,18.01,50.2,84404
6500,63.4,0.050,10014600,0,18.11,50.2,84643
7000,67.8,0.050,10988600,0,18.24,50.3,84823
7500,65.0,0.050,11795500,0,18.34,50.4,85078
8000,63.0,0.050,12514000,0,18.44,50.4,85298
8500,66.6,0.050,13421200,0,18.56,50.5,85518
9000,65.4,0.050,14267400,0,18.66,50.5,85725
9500,65.4,0.050,15106900,0,18.77,50.6,85963
10000,66.6,0.050,16012000,0,18.87,50.7,86179
