Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.4,0.258,161700,0,12.12,38.7,242891
1000,44.4,0.256,-78300,0,12.13,38.7,244092
1500,51.4,0.253,36100,0,12.14,38.7,245135
2000,48.0,0.250,-2600,0,12.15,38.8,246129
2500,48.6,0.247,-30100,0,12.17,38.8,247320
3000,46.2,0.244,-151900,0,12.18,38.8,248302
3500,47.6,0.242,-232600,0,12.18,38.9,249486
4000,48.4,0.239,-248400,0,12.19,38.9,250579
4500,45.4,0.236,-430200,0,12.21,38.9,251545
5000,51.0,0.233,-304500,0,12.22,39.0,252654
5500,49.2,0.230,-286400,0,12.23,39.0,253723
6000,48.6,0.227,-315100,0,12.25,39.0,254748
6500,46.2,0.224,-442600,0,12.25,39.0,255796
7000,47.2,0.222,-560100,0,12.27,39.1,256875
7500,43.0,0.218,-875200,0,12.28,39.1,257820
8000,43.2,0.216,-1194300,0,12.29,39.1,258854
8500,43.8,0.212,-1471100,0,12.32,39.2,259761
9000,48.8,0.209,-1443900,0,12.33,39.2,260761
9500,48.8,0.206,-1439700,0,12.35,39.2,261709
10000,45.2,0.203,-1640900,0,12.37,39.3,262670
