Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.4,0.030,-19200,0,19.54,45.7,407926
1000,44.8,0.030,-221900,0,19.56,45.7,408259
1500,49.6,0.030,-179300,0,19.58,45.7,408638
2000,49.0,0.030,-172200,0,19.61,45.7,408958
2500,49.0,0.030,-210700,0,19.63,45.7,409281
3000,47.8,0.030,-280400,0,19.65,45.8,409674
3500,46.0,0.030,-400500,0,19.68,45.8,409983
4000,49.8,0.030,-348700,0,19.70,45.8,410282
4500,51.0,0.030,-242400,0,19.73,45.8,410582
5000,48.2,0.030,-252800,0,19.75,45.8,410907
5500,50.0,0.030,-219200,0,19.78,45.8,411211
6000,51.4,0.030,-90600,0,19.80,45.8,411572
6500,47.6,0.030,-127600,0,19.83,45.9,411895
7000,50.6,0.030,6800,0,19.85,45.9,412245
7500,48.2,0.030,-20100,0,19.88,45.9,412573
8000,46.6,0.030,-157900,0,19.90,45.9,412939
8500,53.2,0.030,58900,0,19.93,45.9,413214
9000,48.8,0.030,79200,0,19.96,45.9,413576
9500,48.2,0.030,56300,0,19.99,45.9,413891
10000,48.8,0.030,28800,0,20.01,46.0,414242
