Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.0,0.289,-121200,0,19.80,45.6,426198
1000,50.8,0.286,-39900,0,19.79,45.6,427434
1500,49.4,0.284,-44000,0,19.76,45.6,428810
2000,47.2,0.282,-128500,0,19.74,45.6,430072
2500,52.0,0.279,34200,0,19.73,45.5,431217
3000,54.6,0.277,317200,0,19.71,45.5,432505
3500,51.4,0.274,433000,0,19.69,45.5,433710
4000,50.0,0.272,493000,0,19.67,45.4,435057
4500,47.0,0.270,356100,0,19.66,45.4,436283
5000,51.2,0.267,471400,0,19.64,45.4,437510
5500,50.4,0.265,533300,0,19.63,45.4,438696
6000,47.8,0.262,430900,0,19.61,45.4,439849
6500,51.4,0.260,542900,0,19.60,45.4,441070
7000,49.8,0.257,572600,0,19.58,45.3,442269
7500,51.2,0.255,679000,0,19.57,45.3,443397
8000,51.2,0.252,772300,0,19.56,45.3,444543
8500,49.6,0.249,800600,0,19.55,45.3,445737
9000,49.2,0.247,771300,0,19.54,45.3,446796
9500,51.4,0.244,850000,0,19.53,45.3,448039
10000,47.6,0.242,767700,0,19.52,45.3,449180
