Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,66.0,0.050,228173,0,16.65,48.5,82549
1000,71.8,0.050,563367,0,16.75,48.5,82828
1500,65.4,0.050,784496,0,16.87,48.6,83074
2000,66.6,0.050,1028361,0,16.98,48.7,83311
2500,63.2,0.050,1218118,0,17.09,48.8,83603
3000,65.8,0.050,1451021,0,17.20,48.8,83879
3500,66.0,0.050,1682913,0,17.31,48.9,84126
4000,69.6,0.050,1986690,0,17.42,49.0,84351
4500,68.6,0.050,2260703,0,17.53,49.1,84594
5000,67.8,0.050,2518701,0,17.64,49.1,84832
5500,68.6,0.050,2794827,0,17.74,49.2,85137
6000,65.6,0.050,3024112,0,17.86,49.3,85345
6500,68.0,0.050,3292133,0,17.96,49.3,85590
7000,65.0,0.050,3503243,0,18.07,49.4,85879
7500,67.8,0.050,3769019,0,18.17,49.5,86084
8000,68.2,0.050,4039953,0,18.28,49.5,86345
8500,71.6,0.050,4369617,0,18.38,49.6,86605
9000,66.8,0.050,4617287,0,18.49,49.6,86830
9500,69.0,0.050,4903644,0,18.60,49.7,87063
10000,69.4,0.050,5195236,0,18.72,49.7,87242
