Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,52.8,0.030,9398,0,17.13,43.3,405886
1000,53.4,0.030,28711,0,17.15,43.3,406258
1500,48.4,0.030,-40354,0,17.18,43.3,406608
2000,54.8,0.030,3553,0,17.21,43.4,407041
2500,54.0,0.030,40303,0,17.24,43.4,407403
3000,53.4,0.030,71346,0,17.27,43.4,407705
3500,48.6,0.030,19677,0,17.29,43.4,408082
4000,49.8,0.030,-24551,0,17.32,43.4,408485
4500,51.2,0.030,-34802,0,17.34,43.4,408910
5000,54.4,0.030,10864,0,17.37,43.5,409294
5500,50.6,0.030,-17082,0,17.39,43.5,409711
6000,52.6,0.030,-10014,0,17.42,43.5,410118
6500,52.4,0.030,3927,0,17.44,43.5,410512
7000,48.0,0.030,-67559,0,17.46,43.5,410826
7500,50.4,0.030,-96320,0,17.49,43.5,411234
8000,53.6,0.030,-72706,0,17.51,43.6,411670
8500,50.2,0.030,-103075,0,17.53,43.6,412005
9000,50.0,0.030,-146284,0,17.56,43.6,412329
9500,49.2,0.030,-177740,0,17.58,43.6,412667
10000,50.8,0.030,-195523,0,17.61,43.6,412972
