Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,53.8,0.399,19497,0,17.91,47.7,92037
1000,51.6,0.399,-1518,0,17.28,46.2,96273
1500,48.4,0.398,-73975,0,16.73,44.9,100401
2000,54.8,0.397,-39087,0,16.30,44.0,104044
2500,51.6,0.396,-48984,0,15.91,43.1,107652
3000,50.0,0.395,-92548,0,15.58,42.5,110964
3500,47.0,0.395,-190050,0,15.25,41.8,114403
4000,50.2,0.394,-223906,0,14.99,41.3,117580
4500,51.2,0.393,-246630,0,14.73,40.8,120726
5000,48.2,0.392,-317104,0,14.50,40.4,123828
5500,49.8,0.391,-359824,0,14.28,40.0,126794
6000,48.8,0.390,-442901,0,14.08,39.7,129758
6500,50.4,0.389,-487929,0,13.90,39.3,132753
7000,43.2,0.388,-649323,0,13.73,39.0,135583
7500,43.2,0.386,-809692,0,13.59,38.9,138060
8000,47.0,0.385,-912494,0,13.45,38.7,140695
8500,45.0,0.384,-1040097,0,13.31,38.4,143433
9000,46.6,0.383,-1130765,0,13.19,38.3,145979
9500,52.0,0.382,-1138436,0,13.08,38.1,148443
10000,50.2,0.381,-1188978,0,12.97,38.0,150972
