Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,59.40,594,406,545003,0.0500,15.91,50.33,516,0,0.15,2.81,39.7,1,208090,86
2000,58.70,587,413,545918,0.0500,15.97,50.36,453,0,0.14,2.92,39.4,1,208450,171
3000,61.80,618,382,546869,0.0500,16.03,50.38,789,0,0.14,2.93,43.2,3,208823,263
4000,60.70,607,393,547796,0.0500,16.08,50.41,666,0,0.15,2.85,37.7,1,209187,345
5000,62.70,627,373,548763,0.0500,16.13,50.43,894,0,0.14,2.97,39.0,1,209566,432
6000,60.00,600,400,549650,0.0500,16.19,50.47,588,0,0.14,2.91,39.8,1,209915,516
7000,59.90,599,401,550619,0.0500,16.24,50.49,567,0,0.15,2.84,38.7,0,210295,607
8000,65.10,651,349,551533,0.0500,16.29,50.51,1162,0,0.14,3.01,40.4,2,210654,705
9000,61.30,613,387,552565,0.0500,16.35,50.54,719,0,0.14,2.90,41.2,1,211060,809
10000,61.40,614,386,553331,0.0500,16.41,50.57,732,0,0.14,2.93,42.7,2,211361,946
