Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,52.00,520,480,476493,0.0500,12.28,47.99,-286,0,0.14,2.82,45.9,3,181179,94
2000,49.30,493,507,477790,0.0500,12.34,48.04,-578,0,0.14,2.88,38.8,1,181688,178
3000,51.90,519,481,479133,0.0500,12.40,48.09,-281,1,0.21,2.86,40.6,1,182215,265
4000,52.90,529,471,480586,0.0500,12.46,48.12,-183,1,0.14,2.94,40.8,2,182786,352
5000,51.40,514,486,481965,0.0500,12.52,48.15,-330,0,0.14,2.91,41.0,2,183326,442
6000,53.70,537,463,483312,0.0500,12.58,48.20,-108,0,0.14,2.83,39.8,0,183855,526
7000,54.10,541,459,484727,0.0500,12.64,48.25,-48,0,0.14,2.92,42.0,2,184410,615
8000,52.70,527,473,486099,0.0500,12.70,48.32,-192,1,0.14,2.87,42.4,3,184949,730
9000,51.80,518,482,487303,0.0500,12.77,48.37,-289,0,0.14,2.94,40.1,1,185422,845
10000,50.10,501,499,488734,0.0500,12.82,48.42,-473,0,0.15,2.89,40.7,2,185984,934
