Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,55.10,551,449,445356,0.0510,11.05,46.87,49,1,0.14,2.84,43.3,2,168948,92
2000,57.50,575,425,447021,0.0500,11.11,46.93,303,0,0.21,2.88,39.0,0,169602,176
3000,56.20,562,438,448583,0.0500,11.17,46.99,178,0,0.14,2.92,39.8,1,170215,262
4000,56.10,561,439,450059,0.0500,11.24,47.04,174,0,0.14,2.88,40.4,1,170795,349
5000,58.10,581,419,451703,0.0500,11.29,47.09,390,0,0.14,2.92,39.2,1,171441,438
6000,57.60,576,424,453303,0.0500,11.36,47.15,342,0,0.14,2.85,42.6,4,172069,526
7000,54.60,546,454,454899,0.0500,11.42,47.20,-1,0,0.14,2.90,37.6,0,172696,615
8000,55.30,553,447,456398,0.0500,11.48,47.27,90,1,0.14,2.87,41.9,3,173285,714
9000,55.00,550,450,457867,0.0500,11.54,47.32,45,0,0.15,2.90,38.5,0,173862,816
10000,55.40,554,446,459220,0.0500,11.61,47.38,108,0,0.15,2.87,43.5,4,174393,956
