Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,61.6,0.393,218589,0
1000,54.0,0.385,298925,0
1500,53.0,0.378,359565,0
2000,54.4,0.370,442397,0
2500,55.2,0.362,543938,0
3000,48.2,0.355,511540,0
3500,54.4,0.347,600275,0
4000,48.2,0.340,575389,0
4500,54.2,0.332,657660,0
5000,52.2,0.325,703405,0
5500,52.2,0.317,748363,0
6000,52.0,0.310,791034,0
6500,51.2,0.302,819102,0
7000,52.0,0.295,867694,0
7500,51.8,0.287,906067,0
8000,53.8,0.280,983481,0
8500,49.6,0.272,982116,0
9000,52.4,0.265,1032347,0
9500,52.4,0.257,1082350,0
10000,49.4,0.250,1073636,0
