Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,41.2,0.157,-169092,0
1000,38.8,0.154,-377026,0
1500,38.2,0.151,-595302,0
2000,40.2,0.148,-769678,0
2500,43.0,0.145,-904698,0
3000,37.0,0.142,-1131588,0
3500,43.2,0.139,-1267570,0
4000,39.8,0.136,-1470173,0
4500,42.4,0.133,-1611709,0
5000,40.6,0.130,-1795988,0
