Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,40.4,0.397,-186413,0
1000,40.4,0.394,-355490,0
1500,41.2,0.391,-523800,0
2000,36.6,0.388,-769801,0
2500,40.2,0.385,-955378,0
3000,36.8,0.382,-1195002,0
3500,36.4,0.379,-1436909,0
4000,39.4,0.376,-1637151,0
4500,39.4,0.373,-1833426,0
5000,34.8,0.370,-2114705,0
5500,32.8,0.367,-2421382,0
6000,36.0,0.364,-2687642,0
6500,33.8,0.361,-2989832,0
7000,33.2,0.358,-3305032,0
7500,33.6,0.355,-3620822,0
8000,36.2,0.352,-3863756,0
8500,35.6,0.349,-4130151,0
9000,36.6,0.346,-4392026,0
9500,38.4,0.343,-4609717,0
10000,34.4,0.340,-4907027,0
