Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,55.2,0.050,107962,0
1000,54.8,0.050,214344,0
1500,56.4,0.050,344482,0
2000,55.2,0.050,457577,0
2500,56.6,0.050,587368,0
3000,57.4,0.050,739119,0
3500,56.6,0.050,868802,0
4000,55.4,0.050,983770,0
4500,54.8,0.050,1092052,0
5000,53.0,0.050,1160549,0
5500,55.4,0.050,1275074,0
6000,54.6,0.050,1375749,0
6500,58.0,0.050,1540243,0
7000,52.4,0.050,1597703,0
7500,53.6,0.050,1677918,0
8000,57.2,0.050,1831321,0
8500,54.8,0.050,1938151,0
9000,51.2,0.050,1978885,0
9500,53.6,0.050,2059166,0
10000,53.8,0.050,2142450,0
