Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,39.8,0.277,-201886,0
1000,41.2,0.274,-363881,0
1500,38.2,0.271,-591132,0
2000,36.0,0.268,-862211,0
2500,39.6,0.265,-1065740,0
3000,39.0,0.262,-1276156,0
3500,37.6,0.259,-1502863,0
4000,39.0,0.256,-1697357,0
4500,38.2,0.253,-1921733,0
5000,39.2,0.250,-2103670,0
5500,40.6,0.247,-2283950,0
6000,40.8,0.244,-2454842,0
6500,37.6,0.241,-2689485,0
7000,39.0,0.238,-2899830,0
7500,40.8,0.235,-3062426,0
8000,34.2,0.232,-3356746,0
8500,36.4,0.229,-3610381,0
9000,36.8,0.226,-3857816,0
9500,35.0,0.223,-4142542,0
10000,40.8,0.220,-4321452,0
