Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,54.2,0.242,79335,0
1000,49.4,0.235,85118,0
1500,49.0,0.227,75408,0
2000,52.2,0.220,126593,0
2500,56.2,0.212,241922,0
3000,52.6,0.205,303219,0
3500,55.2,0.197,402747,0
4000,53.8,0.190,478601,0
4500,51.8,0.182,516275,0
5000,48.0,0.175,489027,0
5500,56.6,0.167,618167,0
6000,47.0,0.160,564001,0
6500,55.8,0.152,674717,0
7000,54.0,0.145,757501,0
7500,53.2,0.137,824893,0
8000,52.8,0.130,880870,0
8500,51.0,0.122,910468,0
9000,52.0,0.115,958049,0
9500,52.2,0.107,1009141,0
10000,54.2,0.100,1098314,0
