Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,36.4,0.217,-264314,0
1000,38.0,0.214,-488722,0
1500,40.8,0.211,-662453,0
2000,38.8,0.208,-880918,0
2500,35.2,0.205,-1161263,0
3000,39.2,0.202,-1372569,0
3500,37.6,0.199,-1600441,0
4000,40.2,0.196,-1782440,0
4500,40.2,0.193,-1974019,0
5000,36.2,0.190,-2241438,0
5500,37.4,0.187,-2483544,0
6000,36.0,0.184,-2755552,0
6500,34.8,0.181,-3036527,0
7000,37.4,0.178,-3271752,0
7500,38.4,0.175,-3492700,0
8000,40.4,0.172,-3671612,0
8500,38.8,0.169,-3877230,0
9000,35.8,0.166,-4149297,0
9500,33.6,0.163,-4451852,0
10000,35.2,0.160,-4727734,0
