Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,51.6,0.092,38451,0
1000,50.2,0.085,53943,0
1500,51.4,0.077,86501,0
2000,50.8,0.070,104888,0
2500,54.6,0.062,202893,0
3000,53.0,0.055,268042,0
3500,52.4,0.050,323211,0
4000,52.6,0.050,380509,0
4500,54.0,0.050,466212,0
5000,53.0,0.050,534549,0
5500,59.6,0.050,714044,0
6000,53.2,0.050,790636,0
6500,55.8,0.050,916418,0
7000,53.4,0.050,987744,0
7500,53.6,0.050,1066479,0
8000,55.4,0.050,1168842,0
8500,53.4,0.050,1244591,0
9000,52.2,0.050,1292177,0
9500,54.4,0.050,1391643,0
10000,50.0,0.050,1403029,0
