Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
200,14.499999999999998,0.04996170339735633,-637.5
400,17.5,0.04996170339735633,-562.5
600,21.5,0.04996170339735633,-462.5
800,18.5,0.04996170339735633,-537.5
1000,17.5,0.04996170339735633,-562.5
1200,19.5,0.04996170339735633,-512.5
1400,20.0,0.04996170339735633,-500.0
1600,17.0,0.04996170339735633,-575.0
1800,15.5,0.04996170339735633,-612.5
2000,19.0,0.04996170339735633,-525.0
2200,22.0,0.04996170339735633,-450.0
2400,17.0,0.04996170339735633,-575.0
2600,23.5,0.04996170339735633,-412.5
2800,22.5,0.04996170339735633,-437.5
3000,15.0,0.04996170339735633,-625.0
3200,19.5,0.04996170339735633,-512.5
3400,15.5,0.04996170339735633,-612.5
3600,19.0,0.04996170339735633,-525.0
3800,16.5,0.04996170339735633,-587.5
4000,20.0,0.04996170339735633,-500.0
4200,17.5,0.04996170339735633,-562.5
4400,20.0,0.04996170339735633,-500.0
4600,23.5,0.04996170339735633,-412.5
4800,18.5,0.04996170339735633,-537.5
5000,23.0,0.04996170339735633,-425.0
5200,22.5,0.04996170339735633,-437.5
5400,17.0,0.04996170339735633,-575.0
5600,19.5,0.04996170339735633,-512.5
5800,17.5,0.04996170339735633,-562.5
6000,19.5,0.04996170339735633,-512.5
6200,18.5,0.04996170339735633,-537.5
6400,20.5,0.04996170339735633,-487.5
6600,21.0,0.04996170339735633,-475.0
6800,21.5,0.04996170339735633,-462.5
7000,19.0,0.04996170339735633,-525.0
7200,18.0,0.04996170339735633,-550.0
7400,19.0,0.04996170339735633,-525.0
7600,15.5,0.04996170339735633,-612.5
7800,19.5,0.04996170339735633,-512.5
8000,20.0,0.04996170339735633,-500.0
8200,18.0,0.04996170339735633,-550.0
8400,17.5,0.04996170339735633,-562.5
8600,23.0,0.04996170339735633,-425.0
8800,17.5,0.04996170339735633,-562.5
9000,16.0,0.04996170339735633,-600.0
9200,20.5,0.04996170339735633,-487.5
9400,20.0,0.04996170339735633,-500.0
9600,17.5,0.04996170339735633,-562.5
9800,16.5,0.04996170339735633,-587.5
10000,14.499999999999998,0.04996170339735633,-637.5
