Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
200,20.0,0.04996170339735633,-500.0
400,26.0,0.04996170339735633,-350.0
600,22.5,0.04996170339735633,-437.5
800,12.5,0.04996170339735633,-687.5
1000,12.0,0.04996170339735633,-700.0
1200,19.0,0.04996170339735633,-525.0
1400,21.0,0.04996170339735633,-475.0
1600,18.0,0.04996170339735633,-550.0
1800,19.0,0.04996170339735633,-525.0
2000,18.0,0.04996170339735633,-550.0
2200,21.0,0.04996170339735633,-475.0
2400,13.5,0.04996170339735633,-662.5
2600,18.5,0.04996170339735633,-537.5
2800,18.0,0.04996170339735633,-550.0
3000,20.5,0.04996170339735633,-487.5
3200,16.0,0.04996170339735633,-600.0
3400,17.5,0.04996170339735633,-562.5
3600,19.0,0.04996170339735633,-525.0
3800,17.0,0.04996170339735633,-575.0
4000,17.0,0.04996170339735633,-575.0
4200,21.5,0.04996170339735633,-462.5
4400,20.5,0.04996170339735633,-487.5
4600,22.0,0.04996170339735633,-450.0
4800,19.5,0.04996170339735633,-512.5
5000,18.5,0.04996170339735633,-537.5
5200,20.0,0.04996170339735633,-500.0
5400,18.5,0.04996170339735633,-537.5
5600,16.5,0.04996170339735633,-587.5
5800,24.0,0.04996170339735633,-400.0
6000,19.5,0.04996170339735633,-512.5
6200,24.0,0.04996170339735633,-400.0
6400,19.0,0.04996170339735633,-525.0
6600,16.5,0.04996170339735633,-587.5
6800,17.5,0.04996170339735633,-562.5
7000,22.0,0.04996170339735633,-450.0
7200,17.5,0.04996170339735633,-562.5
7400,22.0,0.04996170339735633,-450.0
7600,18.0,0.04996170339735633,-550.0
7800,20.5,0.04996170339735633,-487.5
8000,19.0,0.04996170339735633,-525.0
8200,16.5,0.04996170339735633,-587.5
8400,20.0,0.04996170339735633,-500.0
8600,18.0,0.04996170339735633,-550.0
8800,20.0,0.04996170339735633,-500.0
9000,22.0,0.04996170339735633,-450.0
9200,18.0,0.04996170339735633,-550.0
9400,15.5,0.04996170339735633,-612.5
9600,22.0,0.04996170339735633,-450.0
9800,19.5,0.04996170339735633,-512.5
10000,17.5,0.04996170339735633,-562.5
