Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.4,0.030,-23005,0,10.40,37.8
1000,45.0,0.030,-144253,0,10.43,37.9
1500,48.2,0.030,-203041,0,10.47,37.9
2000,48.0,0.030,-282463,0,10.50,37.9
2500,48.0,0.030,-340638,0,10.54,38.0
3000,50.4,0.030,-425497,0,10.58,38.0
3500,46.6,0.030,-494764,0,10.61,38.0
4000,47.4,0.030,-567051,0,10.64,38.1
4500,47.4,0.030,-617226,0,10.67,38.1
5000,47.6,0.030,-669845,0,10.70,38.1
5500,49.2,0.030,-706139,0,10.73,38.2
6000,46.8,0.030,-808641,0,10.77,38.2
6500,49.0,0.030,-843711,0,10.80,38.2
7000,47.6,0.030,-906148,0,10.84,38.2
7500,47.2,0.030,-1009168,0,10.87,38.3
8000,47.2,0.030,-1081197,0,10.90,38.3
8500,49.8,0.030,-1160396,0,10.94,38.3
9000,50.0,0.030,-1190747,0,10.97,38.4
9500,49.2,0.030,-1238287,0,11.00,38.4
10000,49.4,0.030,-1277854,0,11.04,38.4
