Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,41.6,0.337,-177767,0,15.15,38.2
1000,48.0,0.334,-237336,0,15.03,38.0
1500,45.0,0.331,-354206,0,14.91,37.9
2000,43.4,0.328,-497618,0,14.80,37.7
2500,49.4,0.325,-520750,0,14.69,37.6
3000,44.6,0.322,-633755,0,14.59,37.5
3500,41.8,0.319,-780680,0,14.49,37.4
4000,45.6,0.316,-879933,0,14.40,37.3
4500,41.6,0.313,-1092001,0,14.32,37.2
5000,44.6,0.310,-1210792,0,14.23,37.1
5500,45.6,0.307,-1312289,0,14.15,37.1
6000,46.0,0.304,-1427621,0,14.08,37.0
6500,44.4,0.301,-1594505,0,14.02,37.0
7000,42.6,0.298,-1754438,0,13.95,36.9
7500,43.4,0.295,-1898854,0,13.89,36.9
8000,44.2,0.292,-2043551,0,13.84,36.8
8500,45.0,0.289,-2155709,0,13.79,36.8
9000,48.4,0.286,-2207529,0,13.74,36.8
9500,46.2,0.283,-2292682,0,13.69,36.8
10000,44.2,0.280,-2423650,0,13.64,36.7
