Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,44.0,0.030,-118760,0,9.13,36.5
1000,43.4,0.030,-238048,0,9.16,36.6
1500,49.6,0.030,-270909,0,9.19,36.6
2000,47.4,0.030,-317073,0,9.22,36.6
2500,49.4,0.030,-340425,0,9.25,36.7
3000,48.6,0.030,-380272,0,9.29,36.7
3500,47.0,0.030,-452400,0,9.32,36.7
4000,48.6,0.030,-509490,0,9.35,36.8
4500,47.8,0.030,-569805,0,9.39,36.8
5000,48.4,0.030,-602877,0,9.42,36.8
5500,46.2,0.030,-691673,0,9.45,36.9
6000,47.8,0.030,-727387,0,9.48,36.9
6500,50.6,0.030,-706319,0,9.51,36.9
7000,49.6,0.030,-736990,0,9.55,37.0
7500,46.8,0.030,-801201,0,9.58,37.0
8000,47.0,0.030,-853139,0,9.61,37.1
8500,48.8,0.030,-907214,0,9.65,37.1
9000,50.0,0.030,-919487,0,9.68,37.1
9500,47.8,0.030,-986617,0,9.71,37.1
10000,48.0,0.030,-1028157,0,9.74,37.2
