Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,67.4,0.050,316853,0,20.43,49.3
1000,63.4,0.050,567630,0,20.52,49.3
1500,63.6,0.050,812904,0,20.62,49.3
2000,62.4,0.050,1036966,0,20.72,49.4
2500,62.8,0.050,1270477,0,20.82,49.4
3000,66.6,0.050,1571538,0,20.91,49.4
3500,66.4,0.050,1873196,0,21.01,49.5
4000,63.0,0.050,2110190,0,21.11,49.5
4500,67.0,0.050,2418975,0,21.20,49.6
5000,66.8,0.050,2725939,0,21.30,49.6
5500,63.6,0.050,2970896,0,21.40,49.6
6000,61.6,0.050,3183421,0,21.49,49.7
6500,66.2,0.050,3488748,0,21.59,49.7
7000,60.4,0.050,3679246,0,21.69,49.8
7500,64.6,0.050,3950429,0,21.79,49.8
8000,65.2,0.050,4225617,0,21.89,49.8
8500,62.8,0.050,4461306,0,21.99,49.9
9000,65.0,0.050,4728589,0,22.08,49.9
9500,68.2,0.050,5062389,0,22.17,50.0
10000,66.0,0.050,5355545,0,22.27,50.0
