Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.0,0.339,-95937,0,3.13,22.6
1000,47.2,0.336,-157708,0,3.17,22.9
1500,50.4,0.333,-192081,0,3.24,23.2
2000,46.0,0.330,-270271,0,3.29,23.4
2500,47.4,0.327,-314106,0,3.34,23.6
3000,45.4,0.324,-412762,0,3.39,23.9
3500,45.6,0.321,-519429,0,3.45,24.1
4000,51.0,0.318,-526132,0,3.50,24.3
4500,40.0,0.315,-725335,0,3.55,24.5
5000,47.4,0.312,-787201,0,3.60,24.7
5500,44.6,0.309,-889481,0,3.64,24.9
6000,42.2,0.306,-1030123,0,3.68,25.1
6500,49.0,0.303,-1056776,0,3.73,25.3
7000,52.0,0.300,-1031333,0,3.77,25.5
7500,47.8,0.297,-1078252,0,3.81,25.6
8000,48.8,0.294,-1118391,0,3.86,25.8
8500,44.2,0.291,-1240914,0,3.91,26.0
9000,41.6,0.288,-1379977,0,3.95,26.1
9500,47.4,0.285,-1437874,0,3.99,26.3
10000,45.8,0.282,-1537305,0,4.03,26.4
