Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.4,0.030,-17149,0,8.46,35.7
1000,46.6,0.030,-63870,0,8.49,35.8
1500,47.2,0.030,-129352,0,8.52,35.8
2000,51.2,0.030,-138578,0,8.56,35.8
2500,51.2,0.030,-123814,0,8.59,35.9
3000,47.8,0.030,-154370,0,8.63,35.9
3500,47.8,0.030,-246964,0,8.66,36.0
4000,51.6,0.030,-228126,0,8.70,36.0
4500,51.4,0.030,-212959,0,8.73,36.1
5000,49.6,0.030,-230057,0,8.77,36.1
5500,46.0,0.030,-322491,0,8.80,36.1
6000,48.0,0.030,-372790,0,8.83,36.2
6500,51.2,0.030,-354829,0,8.86,36.2
7000,52.4,0.030,-320638,0,8.90,36.3
7500,49.2,0.030,-344672,0,8.93,36.3
8000,52.8,0.030,-325972,0,8.96,36.3
8500,46.0,0.030,-408527,0,9.00,36.4
9000,46.6,0.030,-480064,0,9.03,36.4
9500,48.0,0.030,-539189,0,9.06,36.4
10000,54.2,0.030,-459215,0,9.09,36.5
