Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,52.0,0.030,20805,0,11.07,38.4
1000,49.2,0.030,-31863,0,11.10,38.5
1500,46.6,0.030,-167129,0,11.13,38.5
2000,50.8,0.030,-166622,0,11.16,38.5
2500,49.8,0.030,-219491,0,11.20,38.6
3000,48.2,0.030,-267822,0,11.23,38.6
3500,50.8,0.030,-272095,0,11.26,38.6
4000,47.4,0.030,-324262,0,11.29,38.6
4500,50.8,0.030,-383455,0,11.33,38.7
5000,48.4,0.030,-404754,0,11.35,38.7
5500,49.0,0.030,-443565,0,11.38,38.7
6000,53.4,0.030,-393939,0,11.41,38.7
6500,49.8,0.030,-396190,0,11.44,38.8
7000,50.8,0.030,-391930,0,11.47,38.8
7500,52.8,0.030,-353285,0,11.50,38.8
8000,48.2,0.030,-395750,0,11.53,38.8
8500,54.8,0.030,-310258,0,11.56,38.9
9000,50.6,0.030,-339081,0,11.59,38.9
9500,51.0,0.030,-356535,0,11.62,38.9
10000,52.6,0.030,-340909,0,11.65,38.9
