Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,64.0,0.050,255505,0,11.75,43.9
1000,65.8,0.050,546299,0,11.87,44.1
1500,65.8,0.050,833845,0,11.99,44.2
2000,65.8,0.050,1127907,0,12.12,44.3
2500,67.2,0.050,1438970,0,12.24,44.4
3000,61.8,0.050,1654549,0,12.36,44.5
3500,61.4,0.050,1855251,0,12.48,44.6
4000,62.4,0.050,2083825,0,12.60,44.7
4500,61.8,0.050,2300121,0,12.71,44.8
5000,62.6,0.050,2526429,0,12.84,44.9
5500,60.8,0.050,2726501,0,12.95,45.0
6000,61.6,0.050,2932275,0,13.07,45.1
6500,65.6,0.050,3215519,0,13.19,45.2
7000,60.6,0.050,3414503,0,13.31,45.3
7500,65.6,0.050,3693490,0,13.43,45.4
8000,64.4,0.050,3954439,0,13.56,45.5
8500,62.0,0.050,4164098,0,13.67,45.5
9000,60.4,0.050,4353261,0,13.79,45.6
9500,62.6,0.050,4587344,0,13.89,45.6
10000,67.4,0.050,4902667,0,14.01,45.7
