Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,51.2,0.397,-29467,0,21.42,48.2
1000,50.2,0.394,-53391,0,20.65,46.7
1500,49.6,0.391,-67199,0,20.04,45.6
2000,50.2,0.388,-81198,0,19.47,44.5
2500,48.4,0.385,-113646,0,19.00,43.7
3000,49.0,0.382,-132989,0,18.59,43.1
3500,44.8,0.379,-253306,0,18.23,42.5
4000,49.2,0.376,-290954,0,17.87,41.9
4500,49.0,0.373,-323487,0,17.52,41.3
5000,46.8,0.370,-405518,0,17.22,40.9
5500,46.4,0.367,-483795,0,16.95,40.5
6000,43.8,0.364,-625059,0,16.71,40.1
6500,44.0,0.361,-739362,0,16.48,39.8
7000,49.0,0.358,-766241,0,16.26,39.5
7500,45.4,0.355,-866806,0,16.07,39.3
8000,48.2,0.352,-915919,0,15.91,39.1
8500,44.6,0.349,-1038951,0,15.73,38.8
9000,42.6,0.346,-1181610,0,15.56,38.6
9500,48.4,0.343,-1246247,0,15.41,38.5
10000,45.4,0.340,-1363194,0,15.29,38.4
