Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,67.0,0.050,306690,0,18.39,48.3
1000,61.8,0.050,518624,0,18.50,48.3
1500,63.6,0.050,777764,0,18.61,48.4
2000,62.0,0.050,997223,0,18.71,48.4
2500,66.4,0.050,1308664,0,18.81,48.5
3000,65.8,0.050,1607315,0,18.92,48.5
3500,64.0,0.050,1856702,0,19.03,48.6
4000,65.6,0.050,2137636,0,19.13,48.7
4500,63.6,0.050,2395600,0,19.23,48.7
5000,63.0,0.050,2628094,0,19.33,48.8
5500,62.0,0.050,2844144,0,19.43,48.8
6000,65.0,0.050,3113959,0,19.54,48.9
6500,67.0,0.050,3429843,0,19.63,48.9
7000,63.6,0.050,3678141,0,19.74,48.9
7500,67.6,0.050,4007809,0,19.84,49.0
8000,67.2,0.050,4337200,0,19.94,49.0
8500,62.8,0.050,4566020,0,20.04,49.1
9000,65.4,0.050,4848173,0,20.14,49.1
9500,65.2,0.050,5128348,0,20.23,49.2
10000,64.4,0.050,5379840,0,20.33,49.2
