Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,47.6,0.030,-66128,0,12.91,40.0
1000,52.2,0.030,-38098,0,12.94,40.0
1500,48.2,0.030,-122857,0,12.98,40.0
2000,51.0,0.030,-103065,0,13.00,40.0
2500,52.2,0.030,-75797,0,13.04,40.0
3000,50.6,0.030,-67146,0,13.06,40.0
3500,52.2,0.030,-51696,0,13.09,40.1
4000,51.8,0.030,-43130,0,13.12,40.1
4500,49.6,0.030,-98240,0,13.15,40.1
5000,50.0,0.030,-143419,0,13.19,40.2
5500,48.6,0.030,-174883,0,13.21,40.2
6000,51.0,0.030,-159583,0,13.24,40.2
6500,51.2,0.030,-163542,0,13.27,40.2
7000,50.6,0.030,-188992,0,13.30,40.2
7500,53.4,0.030,-185692,0,13.33,40.3
8000,51.6,0.030,-153210,0,13.36,40.3
8500,48.8,0.030,-191071,0,13.39,40.3
9000,46.8,0.030,-261582,0,13.41,40.3
9500,50.6,0.030,-285348,0,13.45,40.3
10000,47.4,0.030,-343688,0,13.48,40.4
