Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,47.4,0.177,-71545,0,13.34,39.8
1000,53.0,0.174,-24238,0,13.33,39.8
1500,51.6,0.171,-39122,0,13.33,39.8
2000,53.2,0.168,-18465,0,13.33,39.8
2500,55.6,0.165,51012,0,13.33,39.8
3000,52.2,0.162,45273,0,13.33,39.8
3500,51.6,0.159,52925,0,13.33,39.8
4000,48.4,0.156,-15232,0,13.33,39.8
4500,50.4,0.153,-24300,0,13.33,39.8
5000,50.2,0.150,-40311,0,13.33,39.8
5500,54.2,0.147,18368,0,13.33,39.8
6000,49.4,0.144,-15956,0,13.34,39.8
6500,52.4,0.141,-12719,0,13.34,39.8
7000,46.8,0.138,-129846,0,13.35,39.8
7500,50.6,0.135,-145528,0,13.35,39.8
8000,50.6,0.132,-181612,0,13.36,39.8
8500,50.6,0.129,-190036,0,13.36,39.8
9000,47.4,0.126,-267307,0,13.37,39.8
9500,50.8,0.123,-259563,0,13.37,39.8
10000,48.2,0.120,-324198,0,13.37,39.8
