Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,61.4,0.094,197486,0,9.19,41.5
1000,59.4,0.087,358989,0,9.32,41.6
1500,61.2,0.079,547459,0,9.45,41.8
2000,63.2,0.072,775085,0,9.57,41.9
2500,60.0,0.064,949564,0,9.70,42.0
3000,63.2,0.057,1183989,0,9.84,42.2
3500,64.6,0.050,1445168,0,9.97,42.3
4000,63.6,0.050,1687570,0,10.10,42.4
4500,65.2,0.050,1963277,0,10.22,42.6
5000,65.8,0.050,2253784,0,10.36,42.7
5500,64.6,0.050,2518969,0,10.48,42.9
6000,64.6,0.050,2783718,0,10.61,43.0
6500,65.4,0.050,3059055,0,10.75,43.1
7000,59.2,0.050,3219743,0,10.88,43.3
7500,61.0,0.050,3421953,0,11.00,43.4
8000,58.0,0.050,3568122,0,11.12,43.5
8500,63.0,0.050,3807280,0,11.26,43.6
9000,61.6,0.050,4015695,0,11.38,43.6
9500,63.8,0.050,4267943,0,11.50,43.7
10000,67.0,0.050,4567502,0,11.63,43.8
