Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.6,0.057,-40272,0,13.48,39.9
1000,48.6,0.054,-92103,0,13.49,39.9
1500,53.2,0.051,-60905,0,13.50,39.9
2000,52.6,0.048,-35152,0,13.51,40.0
2500,52.8,0.045,-13328,0,13.52,40.0
3000,52.4,0.042,-22284,0,13.53,40.0
3500,49.4,0.039,-110647,0,13.54,40.0
4000,47.2,0.036,-199566,0,13.55,40.0
4500,48.8,0.033,-284291,0,13.56,40.0
5000,54.4,0.030,-230998,0,13.57,40.0
5500,52.6,0.027,-238732,0,13.58,40.0
6000,54.8,0.024,-187753,0,13.59,40.0
6500,51.8,0.021,-178845,0,13.60,40.0
7000,51.0,0.018,-189538,0,13.61,40.0
7500,51.4,0.015,-257592,0,13.62,40.0
8000,54.8,0.012,-201183,0,13.64,40.0
8500,49.8,0.010,-235012,0,13.64,40.1
9000,49.6,0.010,-349137,0,13.66,40.1
9500,52.8,0.010,-373696,0,13.68,40.1
10000,48.0,0.010,-497096,0,13.69,40.1
