Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,60.0,0.050,185481,0,14.12,45.8
1000,64.6,0.050,450253,0,14.23,45.8
1500,62.4,0.050,674212,0,14.35,45.9
2000,66.6,0.050,966066,0,14.46,46.0
2500,64.2,0.050,1218115,0,14.57,46.1
3000,61.4,0.050,1415719,0,14.68,46.1
3500,63.4,0.050,1658305,0,14.79,46.2
4000,65.2,0.050,1932670,0,14.90,46.2
4500,63.4,0.050,2177324,0,15.02,46.4
5000,64.6,0.050,2443694,0,15.12,46.4
5500,60.4,0.050,2626456,0,15.24,46.5
6000,59.2,0.050,2792105,0,15.35,46.6
6500,63.0,0.050,3034262,0,15.45,46.6
7000,60.2,0.050,3225191,0,15.56,46.6
7500,64.8,0.050,3494687,0,15.68,46.7
8000,61.2,0.050,3706218,0,15.79,46.8
8500,64.0,0.050,3968350,0,15.90,46.9
9000,66.0,0.050,4264679,0,16.01,46.9
9500,62.6,0.050,4495773,0,16.11,47.0
10000,65.2,0.050,4776842,0,16.22,47.0
