Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,43.8,0.279,-155328,0,4.08,26.6
1000,42.2,0.276,-311543,0,4.12,26.7
1500,45.0,0.273,-431972,0,4.17,26.9
2000,43.2,0.270,-561987,0,4.21,27.0
2500,46.0,0.267,-672344,0,4.26,27.2
3000,45.0,0.264,-807491,0,4.31,27.3
3500,48.0,0.261,-872836,0,4.35,27.4
4000,43.6,0.258,-1016185,0,4.39,27.5
4500,43.0,0.255,-1158980,0,4.42,27.6
5000,47.2,0.252,-1207192,0,4.46,27.7
5500,44.4,0.249,-1315621,0,4.50,27.9
6000,44.4,0.246,-1436056,0,4.54,28.0
6500,42.2,0.243,-1606933,0,4.59,28.1
7000,41.8,0.240,-1766686,0,4.63,28.2
7500,47.4,0.237,-1832524,0,4.66,28.3
8000,48.0,0.234,-1896551,0,4.71,28.4
8500,47.4,0.231,-1956163,0,4.74,28.5
9000,45.8,0.228,-2037144,0,4.77,28.6
9500,43.8,0.225,-2172231,0,4.80,28.7
10000,46.6,0.222,-2265689,0,4.84,28.8
