Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,45.4,0.030,-99214,0,9.78,37.2
1000,45.6,0.030,-181814,0,9.81,37.2
1500,52.0,0.030,-157443,0,9.84,37.3
2000,49.6,0.030,-176370,0,9.87,37.3
2500,48.0,0.030,-219297,0,9.90,37.3
3000,47.0,0.030,-278871,0,9.93,37.4
3500,46.4,0.030,-363803,0,9.96,37.4
4000,50.0,0.030,-378481,0,9.99,37.4
4500,50.4,0.030,-369559,0,10.02,37.5
5000,47.0,0.030,-424944,0,10.05,37.5
5500,47.6,0.030,-481119,0,10.08,37.5
6000,41.4,0.030,-742821,0,10.12,37.6
6500,47.4,0.030,-809425,0,10.14,37.6
7000,46.8,0.030,-883516,0,10.17,37.6
7500,49.0,0.030,-950158,0,10.21,37.6
8000,48.4,0.030,-1009537,0,10.24,37.7
8500,46.4,0.030,-1127074,0,10.28,37.7
9000,42.6,0.030,-1268356,0,10.31,37.7
9500,46.6,0.030,-1363347,0,10.34,37.8
10000,50.8,0.030,-1361625,0,10.37,37.8
