Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,44.2,0.039,-147231,0,7.09,33.7
1000,46.6,0.036,-209932,0,7.12,33.8
1500,50.8,0.033,-248035,0,7.16,33.8
2000,50.8,0.030,-257252,0,7.20,33.9
2500,43.8,0.030,-405634,0,7.24,34.0
3000,47.2,0.030,-468020,0,7.27,34.0
3500,49.4,0.030,-510556,0,7.31,34.0
4000,48.8,0.030,-562712,0,7.35,34.1
4500,46.6,0.030,-636971,0,7.38,34.1
5000,44.4,0.030,-770960,0,7.42,34.2
5500,46.4,0.030,-853741,0,7.46,34.3
6000,50.0,0.030,-875593,0,7.49,34.3
6500,47.6,0.030,-917128,0,7.52,34.4
7000,47.4,0.030,-965028,0,7.56,34.4
7500,44.6,0.030,-1088246,0,7.59,34.5
8000,49.8,0.030,-1092459,0,7.63,34.5
8500,46.4,0.030,-1173635,0,7.66,34.6
9000,46.6,0.030,-1252805,0,7.70,34.6
9500,49.0,0.030,-1276402,0,7.73,34.7
10000,48.6,0.030,-1334795,0,7.76,34.7
