Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,50.6,0.030,-12196,0,12.31,39.5
1000,48.0,0.030,-64462,0,12.34,39.5
1500,50.8,0.030,-90998,0,12.37,39.5
2000,50.6,0.030,-75439,0,12.39,39.5
2500,46.8,0.030,-170447,0,12.43,39.6
3000,47.2,0.030,-305969,0,12.46,39.6
3500,50.6,0.030,-332763,0,12.49,39.6
4000,47.2,0.030,-394014,0,12.52,39.6
4500,49.4,0.030,-471058,0,12.56,39.7
5000,50.6,0.030,-473949,0,12.59,39.7
5500,51.6,0.030,-456185,0,12.61,39.7
6000,49.6,0.030,-469560,0,12.64,39.7
6500,53.6,0.030,-425207,0,12.67,39.8
7000,51.4,0.030,-406179,0,12.70,39.8
7500,51.4,0.030,-389051,0,12.73,39.8
8000,48.2,0.030,-447982,0,12.76,39.8
8500,46.8,0.030,-533967,0,12.79,39.9
9000,48.0,0.030,-618898,0,12.82,39.9
9500,49.0,0.030,-635372,0,12.85,39.9
10000,49.8,0.030,-689464,0,12.88,39.9
