Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,41.4,0.159,-181926,0,5.64,30.9
1000,45.4,0.156,-284980,0,5.67,31.0
1500,45.2,0.153,-385471,0,5.71,31.0
2000,47.0,0.150,-463414,0,5.75,31.1
2500,43.6,0.147,-592420,0,5.78,31.2
3000,47.0,0.144,-665772,0,5.82,31.3
3500,42.0,0.141,-870617,0,5.86,31.4
4000,46.4,0.138,-942940,0,5.89,31.4
4500,42.2,0.135,-1089656,0,5.93,31.5
5000,43.4,0.132,-1210370,0,5.96,31.6
5500,48.8,0.129,-1235579,0,5.99,31.7
6000,39.4,0.126,-1425548,0,6.03,31.8
6500,49.8,0.123,-1441206,0,6.06,31.9
7000,47.6,0.120,-1481871,0,6.09,31.9
7500,51.0,0.117,-1476755,0,6.13,32.0
8000,48.2,0.114,-1554718,0,6.17,32.1
8500,44.6,0.111,-1677521,0,6.21,32.1
9000,48.4,0.108,-1724646,0,6.25,32.2
9500,47.4,0.105,-1806362,0,6.29,32.3
10000,46.4,0.102,-1888216,0,6.32,32.3
