Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,51.6,0.030,7390,0,11.68,39.0
1000,44.8,0.030,-100063,0,11.71,39.0
1500,49.4,0.030,-127975,0,11.75,39.0
2000,47.6,0.030,-175579,0,11.78,39.1
2500,50.2,0.030,-198566,0,11.81,39.1
3000,50.8,0.030,-213765,0,11.84,39.1
3500,46.0,0.030,-292690,0,11.87,39.1
4000,49.0,0.030,-378645,0,11.90,39.1
4500,49.4,0.030,-431830,0,11.93,39.2
5000,49.8,0.030,-438622,0,11.96,39.2
5500,50.6,0.030,-443548,0,11.99,39.2
6000,46.4,0.030,-576061,0,12.02,39.2
6500,54.8,0.030,-519082,0,12.05,39.3
7000,46.0,0.030,-644377,0,12.09,39.3
7500,51.4,0.030,-621371,0,12.12,39.3
8000,49.4,0.030,-631072,0,12.15,39.3
8500,49.8,0.030,-658451,0,12.18,39.4
9000,54.8,0.030,-594292,0,12.21,39.4
9500,51.6,0.030,-611078,0,12.25,39.4
10000,45.8,0.030,-694521,0,12.27,39.4
