Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,59.4,0.244,158443,0,6.31,37.2
1000,61.4,0.237,349810,0,6.46,37.5
1500,62.2,0.229,565405,0,6.62,37.8
2000,56.8,0.222,677085,0,6.78,38.1
2500,64.4,0.214,918761,0,6.93,38.3
3000,58.4,0.207,1054085,0,7.08,38.6
3500,60.4,0.199,1218485,0,7.24,38.8
4000,57.8,0.192,1340486,0,7.38,39.1
4500,60.0,0.184,1503627,0,7.52,39.3
5000,59.0,0.177,1657985,0,7.67,39.5
5500,59.8,0.169,1823988,0,7.79,39.7
6000,62.4,0.162,2035759,0,7.94,39.8
6500,63.8,0.154,2277710,0,8.08,40.0
7000,58.6,0.147,2417939,0,8.21,40.2
7500,56.2,0.139,2508544,0,8.35,40.4
8000,64.6,0.132,2771747,0,8.48,40.5
8500,57.6,0.124,2897389,0,8.62,40.7
9000,57.4,0.117,3023193,0,8.76,40.9
9500,62.6,0.109,3241104,0,8.90,41.1
10000,61.6,0.102,3428652,0,9.05,41.3
