Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,48.8,0.117,-40030,0,13.37,39.8
1000,49.4,0.114,-81537,0,13.38,39.8
1500,50.6,0.111,-86750,0,13.38,39.8
2000,52.6,0.108,-85895,0,13.39,39.8
2500,51.6,0.105,-75046,0,13.39,39.8
3000,52.0,0.102,-75738,0,13.39,39.8
3500,52.2,0.099,-58511,0,13.40,39.9
4000,43.6,0.096,-203601,0,13.41,39.9
4500,53.2,0.093,-183417,0,13.41,39.9
5000,49.0,0.090,-237676,0,13.41,39.9
5500,50.6,0.087,-270069,0,13.42,39.9
6000,53.8,0.084,-225901,0,13.42,39.9
6500,47.4,0.081,-353351,0,13.43,39.9
7000,50.6,0.078,-367442,0,13.44,39.9
7500,51.4,0.075,-375313,0,13.45,39.9
8000,46.0,0.072,-464975,0,13.45,39.9
8500,48.4,0.069,-507561,0,13.45,39.9
9000,54.6,0.066,-436651,0,13.46,39.9
9500,53.6,0.063,-417884,0,13.47,39.9
10000,54.0,0.060,-413663,0,13.48,39.9
