Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,53.4,0.237,34206,0,13.44,39.9
1000,51.6,0.234,46236,0,13.44,39.9
1500,49.6,0.231,6905,0,13.43,39.9
2000,53.4,0.228,38355,0,13.42,39.9
2500,50.0,0.225,16706,0,13.41,39.9
3000,50.4,0.222,-4346,0,13.40,39.9
3500,50.0,0.219,-41525,0,13.40,39.9
4000,53.0,0.216,-4644,0,13.39,39.8
4500,47.8,0.213,-84198,0,13.38,39.8
5000,47.8,0.210,-150782,0,13.38,39.8
5500,50.8,0.207,-162549,0,13.38,39.8
6000,50.8,0.204,-180097,0,13.37,39.8
6500,48.8,0.201,-235907,0,13.36,39.8
7000,49.2,0.198,-279351,0,13.36,39.8
7500,52.0,0.195,-262378,0,13.35,39.8
8000,47.6,0.192,-330448,0,13.35,39.8
8500,52.0,0.189,-329405,0,13.35,39.8
9000,52.4,0.186,-317954,0,13.34,39.8
9500,54.0,0.183,-262795,0,13.34,39.8
10000,54.0,0.180,-210504,0,13.34,39.8
