Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.0,0.030,-70653,0,7.80,34.8
1000,49.2,0.030,-87399,0,7.83,34.8
1500,46.2,0.030,-154872,0,7.86,34.9
2000,46.8,0.030,-230823,0,7.90,34.9
2500,49.2,0.030,-249852,0,7.93,35.0
3000,47.8,0.030,-297579,0,7.96,35.0
3500,46.2,0.030,-376711,0,7.99,35.1
4000,45.8,0.030,-451291,0,8.03,35.1
4500,47.0,0.030,-516214,0,8.06,35.2
5000,44.2,0.030,-617491,0,8.09,35.2
5500,44.8,0.030,-702297,0,8.13,35.3
6000,45.8,0.030,-779989,0,8.16,35.4
6500,43.6,0.030,-944313,0,8.20,35.4
7000,42.0,0.030,-1089280,0,8.23,35.4
7500,45.0,0.030,-1202116,0,8.26,35.5
8000,48.6,0.030,-1225479,0,8.30,35.5
8500,48.8,0.030,-1248759,0,8.33,35.6
9000,46.4,0.030,-1337663,0,8.36,35.6
9500,48.0,0.030,-1375278,0,8.39,35.6
10000,47.4,0.030,-1436989,0,8.42,35.7
