Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.4,0.277,-100610,0,13.59,36.7
1000,43.2,0.274,-238735,0,13.55,36.7
1500,40.4,0.271,-426088,0,13.51,36.6
2000,44.6,0.268,-570907,0,13.48,36.6
2500,47.6,0.265,-627085,0,13.45,36.6
3000,41.0,0.262,-828861,0,13.43,36.6
3500,47.2,0.259,-907363,0,13.40,36.6
4000,43.8,0.256,-1039949,0,13.38,36.7
4500,49.4,0.253,-1074498,0,13.35,36.6
5000,46.0,0.250,-1177819,0,13.33,36.6
5500,44.6,0.247,-1285075,0,13.31,36.6
6000,43.4,0.244,-1412544,0,13.28,36.6
6500,44.8,0.241,-1522448,0,13.26,36.6
7000,41.8,0.238,-1679499,0,13.23,36.6
7500,46.6,0.235,-1769872,0,13.21,36.7
8000,46.8,0.232,-1881429,0,13.20,36.7
8500,46.2,0.229,-1958016,0,13.18,36.7
9000,46.2,0.226,-2078604,0,13.16,36.6
9500,44.8,0.223,-2185393,0,13.14,36.6
10000,48.4,0.220,-2234266,0,13.13,36.6
