Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,73.6,0.394,466608,0,1.87,17.0
1000,69.6,0.387,841310,0,2.28,21.1
1500,66.2,0.379,1146757,0,2.64,23.6
2000,67.0,0.372,1463660,0,2.92,25.1
2500,62.6,0.364,1701971,0,3.18,26.4
3000,64.4,0.357,1959070,0,3.43,27.5
3500,62.8,0.349,2183188,0,3.68,28.9
4000,62.0,0.342,2390288,0,3.90,30.0
4500,62.2,0.334,2605131,0,4.10,31.0
5000,67.2,0.327,2907956,0,4.32,31.7
5500,58.8,0.319,3055818,0,4.52,32.4
6000,62.8,0.312,3272416,0,4.69,33.0
6500,60.8,0.304,3455832,0,4.89,33.6
7000,58.0,0.297,3590979,0,5.07,34.2
7500,62.4,0.289,3799042,0,5.26,34.8
8000,57.2,0.282,3924622,0,5.43,35.4
8500,59.4,0.274,4074784,0,5.62,35.9
9000,58.2,0.267,4202031,0,5.80,36.4
9500,58.0,0.259,4331272,0,5.97,36.7
10000,61.2,0.252,4517899,0,6.14,37.0
