Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,51.2,0.099,-17032,0,6.36,32.4
1000,49.6,0.096,-42688,0,6.40,32.5
1500,47.0,0.093,-121736,0,6.44,32.5
2000,47.6,0.090,-227271,0,6.48,32.6
2500,48.2,0.087,-259610,0,6.51,32.7
3000,46.8,0.084,-335078,0,6.55,32.7
3500,49.2,0.081,-385705,0,6.59,32.8
4000,52.2,0.078,-376390,0,6.62,32.9
4500,42.4,0.075,-533563,0,6.66,32.9
5000,42.0,0.072,-731406,0,6.70,33.0
5500,49.4,0.069,-766663,0,6.73,33.1
6000,46.4,0.066,-850137,0,6.77,33.1
6500,45.2,0.063,-962191,0,6.80,33.2
7000,47.4,0.060,-1028834,0,6.84,33.3
7500,45.0,0.057,-1136551,0,6.87,33.4
8000,47.8,0.054,-1236416,0,6.91,33.4
8500,42.0,0.051,-1393441,0,6.95,33.5
9000,46.4,0.048,-1514197,0,6.98,33.5
9500,44.8,0.045,-1637297,0,7.02,33.6
10000,46.0,0.042,-1752928,0,7.05,33.6
