Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,52.8,0.297,22349,0,13.74,40.5
1000,46.2,0.294,-60889,0,13.72,40.5
1500,47.0,0.291,-130804,0,13.70,40.4
2000,51.4,0.288,-121581,0,13.69,40.4
2500,49.2,0.285,-155931,0,13.66,40.3
3000,44.8,0.282,-273634,0,13.64,40.3
3500,47.0,0.279,-338989,0,13.63,40.3
4000,48.4,0.276,-382493,0,13.61,40.2
4500,52.2,0.273,-361879,0,13.59,40.2
5000,51.6,0.270,-357400,0,13.58,40.2
5500,48.4,0.267,-437674,0,13.57,40.2
6000,48.6,0.264,-465273,0,13.55,40.1
6500,54.6,0.261,-405263,0,13.54,40.1
7000,53.4,0.258,-355327,0,13.52,40.1
7500,50.0,0.255,-383810,0,13.51,40.0
8000,54.0,0.252,-331009,0,13.50,40.0
8500,51.8,0.249,-316756,0,13.49,40.0
9000,50.2,0.246,-335722,0,13.47,40.0
9500,53.0,0.243,-301823,0,13.46,40.0
10000,47.0,0.240,-381604,0,13.45,39.9
