Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.0,0.398,-10994,0,1.58,10.0
1000,51.8,0.396,21799,0,1.75,12.6
1500,46.4,0.393,-44678,0,1.91,14.1
2000,46.4,0.390,-95961,0,1.99,15.0
2500,50.6,0.387,-81546,0,2.08,15.9
3000,49.6,0.384,-87458,0,2.15,16.4
3500,47.4,0.381,-128195,0,2.23,17.1
4000,43.4,0.378,-251980,0,2.30,17.7
4500,42.4,0.375,-389151,0,2.37,18.2
5000,45.0,0.372,-465533,0,2.44,18.7
5500,47.8,0.369,-496060,0,2.51,19.1
6000,45.2,0.366,-589276,0,2.58,19.6
6500,42.0,0.363,-741135,0,2.64,20.1
7000,43.6,0.360,-859794,0,2.71,20.4
7500,47.0,0.357,-920553,0,2.76,20.7
8000,48.2,0.354,-966204,0,2.83,21.0
8500,46.4,0.351,-1025374,0,2.89,21.4
9000,43.8,0.348,-1153809,0,2.95,21.8
9500,43.0,0.345,-1291273,0,3.00,22.0
10000,42.8,0.342,-1445206,0,3.07,22.4
