Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,43.8,0.219,-134477,0,4.88,28.9
1000,46.4,0.216,-220212,0,4.92,29.0
1500,44.6,0.213,-354882,0,4.96,29.1
2000,41.4,0.210,-522254,0,5.00,29.2
2500,44.8,0.207,-618173,0,5.03,29.3
3000,44.2,0.204,-721386,0,5.07,29.4
3500,47.8,0.201,-816189,0,5.11,29.5
4000,44.8,0.198,-905033,0,5.15,29.6
4500,43.2,0.195,-1046822,0,5.18,29.7
5000,45.4,0.192,-1126983,0,5.22,29.8
5500,42.2,0.189,-1295824,0,5.26,29.9
6000,42.2,0.186,-1469135,0,5.30,30.0
6500,41.0,0.183,-1638686,0,5.34,30.1
7000,44.0,0.180,-1770889,0,5.38,30.3
7500,44.4,0.177,-1883123,0,5.41,30.4
8000,44.0,0.174,-2012785,0,5.45,30.4
8500,46.6,0.171,-2076559,0,5.49,30.5
9000,46.0,0.168,-2155804,0,5.53,30.6
9500,45.2,0.165,-2238113,0,5.56,30.7
10000,38.0,0.162,-2484826,0,5.60,30.8
