Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,48.0,0.393,-4836,0
1000,47.8,0.385,-1250,0
1500,46.2,0.378,-28911,0
2000,48.8,0.370,-22734,0
2500,47.8,0.362,-30270,0
3000,49.0,0.355,-26134,0
3500,49.0,0.347,-15648,0
4000,46.8,0.340,-34736,0
4500,50.0,0.332,-8899,0
5000,48.4,0.325,-2710,0
5500,47.6,0.317,-12768,0
6000,46.0,0.310,-33810,0
6500,49.0,0.302,-26973,0
7000,46.8,0.295,-52843,0
7500,46.2,0.287,-76009,0
8000,48.0,0.280,-79897,0
8500,49.0,0.272,-82412,0
9000,45.8,0.265,-124914,0
9500,51.6,0.257,-78967,0
10000,47.6,0.250,-85974,0
