Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,51.0,0.242,39161,0
1000,55.6,0.235,131340,0
1500,55.2,0.227,218156,0
2000,57.2,0.220,338972,0
2500,57.0,0.212,451714,0
3000,57.4,0.205,570731,0
3500,48.2,0.197,569199,0
4000,53.4,0.190,635461,0
4500,51.6,0.182,682003,0
5000,55.6,0.175,776925,0
5500,52.4,0.167,829722,0
6000,62.4,0.160,1016209,0
6500,52.4,0.152,1073832,0
7000,56.6,0.145,1186087,0
7500,52.2,0.137,1234466,0
8000,56.6,0.130,1343262,0
8500,55.0,0.122,1440935,0
9000,56.2,0.115,1548836,0
9500,51.6,0.107,1593074,0
10000,54.8,0.100,1682970,0
